time,T,H,L
21:35:47.599084,22.4,47.0,1021.0
21:36:00.089311,22.4,47.0,1022.0
21:36:12.600025,22.4,47.0,1021.0
21:36:25.348581,22.5,47.0,1020.0
21:36:37.934079,22.4,47.0,1021.0
21:36:50.441160,22.4,47.0,1020.0
21:37:02.915022,22.4,47.0,1021.0
21:37:15.641693,22.4,47.0,1020.0
21:37:28.143991,22.4,48.0,1020.0
21:37:40.635994,22.4,48.0,1020.0
21:37:53.108016,22.5,48.0,1020.0
21:38:05.573302,22.4,47.0,1021.0
21:38:18.151759,22.4,47.0,1020.0
21:38:30.641858,22.4,47.0,1022.0
21:38:43.119981,22.4,47.0,1022.0
21:38:55.606490,22.4,47.0,1020.0
21:39:08.087391,22.4,47.0,1021.0
21:39:20.684842,22.4,47.0,1020.0
21:39:33.170634,22.4,47.0,1021.0
21:39:45.741633,22.4,47.0,1020.0
21:39:58.228337,22.4,48.0,1021.0
21:40:10.707351,22.5,48.0,1020.0
21:40:23.197602,22.4,47.0,1019.0
21:40:35.664563,22.4,47.0,1020.0
21:40:48.158275,22.4,47.0,1020.0
21:41:00.657493,22.4,47.0,1020.0
21:41:13.143982,22.4,47.0,1021.0
21:41:25.973500,22.4,47.0,1020.0
21:41:38.708031,22.5,47.0,1020.0
21:41:51.425757,22.4,47.0,1018.0
21:42:04.140004,22.4,47.0,1020.0
21:42:16.848034,22.4,47.0,1019.0
21:42:29.549726,22.4,47.0,1020.0
21:42:42.260484,22.4,47.0,1021.0
21:42:54.955831,22.4,47.0,1020.0
21:43:07.780871,22.5,47.0,1020.0
21:43:20.254422,22.4,47.0,1019.0
21:43:32.724354,22.4,47.0,1020.0
21:43:45.220049,22.4,47.0,1019.0
21:43:57.721724,22.4,47.0,1021.0
21:44:10.222627,22.4,46.0,1022.0
21:44:22.698016,22.4,46.0,1022.0
21:44:35.444262,22.4,46.0,1020.0
21:44:48.296361,22.4,47.0,1020.0
21:45:00.983952,22.4,47.0,1021.0
21:45:13.673678,22.4,48.0,1020.0
21:45:26.370560,22.4,48.0,1021.0
21:45:39.047633,22.4,48.0,1021.0
21:45:52.532582,22.4,48.0,1020.0
21:46:05.240047,22.4,48.0,1020.0
21:46:17.918184,22.4,48.0,1022.0
21:46:30.780043,22.4,48.0,1021.0
21:46:43.468027,22.4,48.0,1021.0
21:46:56.148594,22.4,48.0,1022.0
21:47:08.838167,22.4,48.0,1018.0
21:47:21.526276,22.4,48.0,1019.0
21:47:34.238464,22.4,48.0,1021.0
21:47:46.923782,22.5,48.0,1018.0
21:47:59.724002,22.4,47.0,1020.0
21:48:12.419038,22.4,47.0,1021.0
21:48:25.130144,22.4,47.0,1021.0
21:48:37.816660,22.4,47.0,1019.0
21:48:50.524022,22.4,47.0,1020.0
21:49:03.211912,22.4,47.0,1021.0
21:49:15.909742,22.4,47.0,1020.0
21:49:28.668265,22.4,48.0,1021.0
21:49:41.474181,22.4,48.0,1021.0
21:49:54.229627,22.4,48.0,1021.0
21:50:06.894233,22.4,48.0,1022.0
21:50:19.649285,22.4,48.0,1020.0
21:50:32.331246,22.4,48.0,1022.0
21:50:45.058040,22.4,48.0,1021.0
21:50:57.759926,22.4,48.0,1021.0
21:51:10.511637,22.4,47.0,1021.0
21:51:23.408461,22.4,47.0,1021.0
21:51:36.140484,22.4,47.0,1021.0
21:51:48.829110,22.4,47.0,1018.0
21:52:01.566759,22.4,47.0,1020.0
21:52:14.256296,22.4,47.0,1021.0
21:52:26.939045,22.4,48.0,1017.0
21:52:39.632022,22.4,48.0,1021.0
21:52:52.320322,22.4,48.0,1019.0
21:53:05.120036,22.4,48.0,1021.0
21:53:17.803041,22.4,48.0,1021.0
21:53:30.507996,22.4,48.0,1020.0
21:53:43.203891,22.4,48.0,1021.0
21:53:55.937741,22.5,48.0,1020.0
21:54:08.602848,22.4,48.0,1021.0
21:54:21.308975,22.4,47.0,1021.0
